appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,owners_variance,players_forever,players_forever_variance,players_2weeks,players_2weeks_variance,average_forever,average_2weeks,median_forever,median_2weeks,price
394360,Hearts of Iron IV,Paradox Development Studio,Paradox Interactive,54,19609,3854,83,1049306,31821,27218,260558,15869,8581,810,3585,442,3999
49520,Borderlands 2,"Gearbox Software, Aspyr (Mac & Linux)","2K Games, Aspyr (Mac & Linux)",95,123130,4163,96,8430842,89539,73705,247416,15464,3499,399,1313,111,1999
236870,HITMAN,"IO Interactive A/S, Feral Interactive (Linux), Feral Interactive (Mac)","IO Interactive A/S, Feral Interactive (Linux), Feral Interactive (Mac)",41,17310,5052,76,1974526,43611,29920,188026,13481,886,227,354,76,0
289070,Sid Meiers Civilization VI,"Firaxis, Aspyr (Mac, Linux)","2K, Aspyr (Mac, Linux)",27,29546,12690,69,3093583,54528,45173,328287,17811,5340,972,1885,398,5999
250900,The Binding of Isaac: Rebirth,"Nicalis, Inc.","Nicalis, Inc.",97,65270,1538,97,2072329,44674,38238,206222,14118,7037,309,2555,78,1499
232090,Killing Floor 2,Tripwire Interactive,Tripwire Interactive,65,48955,6801,89,1911850,42916,35575,180444,13207,2382,335,741,150,2999
438100,VRChat,VRChat Inc.,VRChat Inc.,65,12524,1801,87,3847709,60766,48435,192575,13643,327,315,52,48,0
624090,Football Manager 2018,Sports Interactive,SEGA,16,2774,1792,58,747808,26871,22728,288862,16708,11070,1828,5285,1036,4999
240,Counter-Strike: Source,Valve,Valve,92,68715,3109,95,15792666,121640,90763,196366,13777,7953,462,662,47,1999
674940,Stick Fight: The Game,Landfall West,Landfall,78,15405,1442,91,1422578,37037,31571,185751,13399,327,82,194,38,499
322330,Don't Starve Together,Klei Entertainment,Klei Entertainment,95,83737,2934,96,7453815,84273,66452,232505,14991,1605,374,530,124,1499
620,Portal 2,Valve,Valve,99,119060,1561,98,11722308,105231,82025,167303,12717,918,187,529,69,1999
477160,Human: Fall Flat,No Brakes Games,Curve Digital,78,15253,1465,90,2637924,50375,41677,227956,14843,369,145,269,68,1499
374320,DARK SOULS III,"FromSoftware, Inc.","FromSoftware, Inc., BANDAI NAMCO Entertainment",74,73853,7746,90,2839091,52250,42581,235285,15080,4440,571,2191,147,5999
304050,Trove,Trion Worlds,Trion Worlds,41,44279,12762,77,9879957,96788,76641,169577,12803,1349,559,122,53,0
221380,Age of Empires II HD,"Skybox Labs, Hidden Path Entertainment, Ensemble Studios",Microsoft Studios,89,45390,2747,94,4952615,68865,56635,248932,15511,2728,453,640,166,1999
489830,The Elder Scrolls V: Skyrim Special Edition,Bethesda Game Studios,Bethesda Softworks,32,36111,13669,78,6370897,77996,49317,239581,15217,2347,602,564,132,3999
236850,Europa Universalis IV,Paradox Development Studio,Paradox Interactive,51,32479,6938,82,1473628,37694,31513,215320,14426,12884,992,1910,470,3999
255710,Cities: Skylines,Colossal Order Ltd.,Paradox Interactive,82,53634,4409,91,4506558,65720,55201,260305,15861,2635,441,760,122,2999
227940,Heroes & Generals,RETO MOTO,RETO MOTO,23,58456,29288,66,16924613,125778,92788,183224,13308,766,351,53,57,0
444200,World of Tanks Blitz,Wargaming Group Limited,Wargaming Group Limited,32,9147,3527,72,3137052,54907,40768,193333,13670,1812,659,105,130,0
460930,Tom Clancy's Ghost Recon Wildlands,"Ubisoft Paris, Ubisoft Annecy, Ubisoft Bucharest, Ubisoft Montpellier, Ubisoft Milan, Reflections, Ubisoft Belgrade",Ubisoft,33,17928,6325,75,984609,30826,25967,182719,13290,2574,601,1620,303,5999
242760,The Forest,Endnight Games Ltd,Endnight Games Ltd,82,82893,6879,92,3947787,61545,52735,186257,13418,1475,308,772,109,1499
250820,SteamVR,,,,0,0,0,652278,25098,25098,159216,12406,2581,727,535,246,0
386360,SMITE,Hi-Rez Studios,Hi-Rez Studios,54,30085,5988,83,7825571,86317,64248,193333,13670,2145,773,142,168,0
397900,Business Tour - Online Multiplayer Board Game,Creobit,8Floor,21,4382,2436,64,1397053,36704,30652,123834,10941,363,167,154,52,0
203160,Tomb Raider,"Crystal Dynamics, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)",92,78559,3296,95,5618034,73297,56973,161996,12514,858,276,608,93,1999
281990,Stellaris,Paradox Development Studio,Paradox Interactive,54,25197,5060,83,1703101,40514,32911,180192,13197,5462,894,2018,407,3999
291480,Warface,Crytek,My.com,29,28095,11720,70,9714170,95989,67841,175390,13021,829,299,101,55,0
413150,Stardew Valley,ConcernedApe,Chucklefish,97,86028,2263,97,3660189,59278,49495,197377,13812,3121,446,1480,92,1499
365590,Tom Clancys The Division,Massive Entertainment,Ubisoft,22,40721,21866,66,1628295,39617,33830,135712,11454,5370,821,2507,270,4999
264710,Subnautica,Unknown Worlds Entertainment,Unknown Worlds Entertainment,82,63181,4822,92,2243676,46476,39189,174379,12983,1729,399,808,123,2499
466240,Deceit,Automaton,Automaton,32,10088,3772,72,2945993,53219,39641,145316,11852,294,121,65,39,0
225540,Just Cause 3,Avalanche Studios,Square Enix,30,27373,11050,71,1947990,43318,34804,124340,10964,1589,313,821,81,2999
239140,Dying Light,Techland,Techland Publishing,82,54445,4110,92,2511562,49159,41808,135712,11454,2165,349,1306,112,3999
601510,Yu-Gi-Oh! Duel Links,Konami Digital Entertainment,Konami Digital Entertainment,54,4716,962,83,1413986,36926,28589,145063,11842,1700,880,138,194,0
698780,Doki Doki Literature Club!,Team Salvato,Team Salvato,97,87275,2651,97,3033688,54000,41967,131669,11282,247,108,135,28,0
427520,Factorio,Wube Software LTD.,Wube Software LTD.,99,33930,473,98,1238343,34562,29362,131416,11271,5142,824,1894,272,2000
322170,Geometry Dash,RobTop Games,RobTop Games,92,45697,2150,95,1077106,32239,27236,139250,11602,4111,431,355,45,399
48700,Mount & Blade: Warband,TaleWorlds Entertainment,TaleWorlds Entertainment,97,65808,1836,97,2948773,53244,44007,140009,11634,6723,481,2154,161,1999
220240,Far Cry 3,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",Ubisoft,71,42384,5081,88,3269984,56051,46152,82640,8938,1650,336,985,97,1999
379430,Kingdom Come: Deliverance,Warhorse Studios,Warhorse Studios,33,17758,6401,71,646718,24991,20941,154161,12207,2341,572,1856,243,5999
22380,Fallout: New Vegas,Obsidian Entertainment,Bethesda Softworks,92,56744,2646,95,5132806,70094,56497,111704,10392,3463,393,1188,122,999
301520,Robocraft,Freejam,Freejam,32,77971,29801,72,14147692,115323,85980,131921,11293,1160,273,140,46,0
220200,Kerbal Space Program,Squad,Private Division ,89,45090,2427,94,2060957,44552,37523,121307,10829,4198,607,932,175,3999
391220,Rise of the Tomb Raider,Crystal Dynamics,Square Enix,86,37150,2662,93,2330107,47359,37335,130911,11249,1295,306,937,112,5999
379720,DOOM,id Software,Bethesda Softworks,82,56954,4611,92,2599257,50006,41674,110693,10344,1059,146,543,43,2999
311210,Call of Duty: Black Ops III,Treyarch,Activision,16,34476,22650,64,1767798,41273,35186,109429,10285,4446,274,1519,69,5999
630100,SoulWorker,"Lion Games Co., Ltd.",Gameforge 4D GmbH,35,2495,846,74,537289,22781,17920,129900,11206,697,602,112,96,0
637650,FINAL FANTASY XV WINDOWS EDITION,Square Enix,Square Enix,57,5787,1083,83,307059,17226,14265,135712,11454,1491,701,831,298,4999
582160,Assassin's Creed Origins,Ubisoft Montreal,Ubisoft,62,23657,3816,85,731633,26579,21958,152392,12137,2572,575,1891,236,5999
