original_price,discount_original_price,discount_final_price,release_date,reviews,item_id,genre
US$19.99 ,0,0,  Feb 18  2014,  [Very Positive- Very Positive],242920,  [City Builder- Strategy- Simulation- Survival- Indie- Singleplayer- Sandbox- Medieval- Relaxing- Resource Management- Difficult- Economy- Open World- Procedural Generation- Building- Historical- Management- Atmospheric- RTS- Casual]
US$1.99 ,0,0,  Jul 13  2016,  [Mixed],501800,  [Adventure- Indie- Platformer]
US$1.99 ,0,US$25.56 ,  Apr 26  2016,  [],451440,  [Action- Indie]
US$9.99 ,0,0,  Feb 15  2012,  [Mostly Positive],210170,  [Indie- Lemmings- Strategy- Action- Puzzle- Touch-Friendly- 2D- Singleplayer]
US$9.99 ,0,0,  Apr 16  2014,  [Very Positive],286540,  [Adventure- Hidden Object- Puzzle- Casual- Point & Click- Singleplayer]
US$7.99 ,0,0,  Feb 26  2016,  [Mostly Positive],351730,  [Adventure- Survival- Indie- Strategy- Casual- Simulation- Pixel Graphics- Crafting]
US$9.99 ,0,US$12.13 ,  Sep 12  2016,  [Mixed],409000,  [RPG- Rogue-like- Anime- JRPG- RPGMaker- Pixel Graphics]
US$9.99 ,0,US$29.97 ,  Jun 20  2016,  [Mixed],450530,  [Video Production- Utilities]
US$19.99 ,0,0,  Mar 11  2016,  [Mixed],333100,  [Early Access- Simulation- Indie- Adventure- Survival- Open World- Walking Simulator]
US$9.99 ,0,US$49.45 ,  Dec 11  2012,  [Mixed- Mostly Positive],105000,  [Adventure- Point & Click- Indie- Post-apocalyptic- Sci-fi- Hand-drawn- Singleplayer- Puzzle- Female Protagonist- Story Rich]
US$9.99 ,0,0,  Jun 20  2012,  [Very Positive],97330,  [Card Game- Strategy- Trading Card Game- Multiplayer- Singleplayer- Fantasy- Magic- Board Game- Co-op]
Free to Play,0,0,  May 1  2013,  [Mixed- Mixed],231060,  [Free to Play- RPG- Anime- Massively Multiplayer- MMORPG- Multiplayer- JRPG- Adventure- Open World]
US$5.99 ,0,0,  Jul 4  2016,  [Positive],494310,  [Early Access- Adventure- Indie- Action- VR]
,US$9.99 ,US$1.99 ,  Jan 8  2009,  [Mostly Negative],46700,  [Strategy]
US$4.99 ,0,0,  Jul 28  2015,  [Positive],389200,  [Early Access- Action- Indie]
US$14.99 ,0,US$17.08 ,  Jul 14  2016,  [Positive],362380,  [Sports- Indie- Action- Local Multiplayer]
US$14.99 ,0,0,  Apr 27  2016,  [Very Positive],414190,  [Early Access- Adventure- Indie- Action- Sandbox- 2D- Survival- Crafting- Pixel Graphics- Multiplayer- Building]
US$4.99 ,0,0,  Jun 8  2015,  [Positive],365060,  [Action- Adventure- Indie- RPG]
US$3.99 ,0,0,  Jun 14  2000,  [Mixed],362920,  [Adventure- Point & Click]
US$9.99 ,0,0,  Oct 27  2014,  [Very Positive- Very Positive],328080,  [Early Access- Strategy- Simulation- Indie- Pixel Graphics- Survival- Rogue-like- Singleplayer- Retro- Level Editor- City Builder- Great Soundtrack- Sandbox- God Game- Soundtrack- Tower Defense]
US$9.99 ,0,US$99.52 ,  Mar 6  2012,  [Very Positive],115110,  [Adventure- Puzzle- Indie- Comedy- Third Person- Singleplayer- Short- Exploration- Funny- Family Friendly- Casual- Atmospheric]
US$14.99 ,0,0,  Jun 10  2010,  [Mixed],46790,  [Strategy- Sci-fi- Space- 4X- Turn-Based]
US$4.99 ,0,0,  Jun 24  2004,  [Mixed],65500,  [Adventure- Point & Click- Puzzle- Singleplayer]
US$1.99 ,0,US$12.99 ,  Jun 14  2016,  [],489780,  [Adventure- Indie- Point & Click- Cartoony- Cartoon- Remake]
US$0.99 ,0,US$17.30 ,  Sep 9  2016,  [],467770,  [Strategy- Free to Play- Indie- Casual- Simulation- Sports]
US$19.99 ,0,0,  Sep 7  2016,  [Mixed],378800,  [Strategy- Simulation]
