appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,owners_variance,players_forever,players_forever_variance,players_2weeks,players_2weeks_variance,average_forever,average_2weeks,median_forever,median_2weeks,price
34190,Sonic & SEGA All-Stars Racing,Sumo Digital,SEGA,41,484,140,77,251459,15589,65203,7940,1134,1281,263,89,47,90,999
220820,Zombie Driver HD,Exor Studios,Exor Studios,57,1940,355,83,260810,15876,153150,12167,2690,1990,194,101,77,145,999
223670,F1 2013,"Codemasters Birmingham, Feral Interactive (Mac)","Codemasters, Feral Interactive (Mac)",59,2777,465,85,252723,15629,181708,13253,2527,1563,2680,561,664,295,2499
295690,PARTICLE MACE,Andy Wallace,EQG,71,1139,136,88,250196,15550,125856,11030,1537,1504,448,122,146,182,49
396160,Secret Of Magia,,EQ-Games,7,293,330,45,269403,16136,156941,12317,3097,3033,223,241,210,271,50
91900,Post Apocalyptic Mayhem,Steel Monkeys,Next Dimension Game Adventures Ltd.,57,1214,225,88,244636,15377,138998,11592,0,0,173,0,93,0,999
351490,Intergalactic Bubbles,Hellscape Games,Hellscape Games,51,892,188,82,258536,15807,138240,11560,1501,1468,413,54,203,70,199
235800,Audiosurf 2,Dylan Fitterer,Dylan Fitterer,62,3593,578,86,256514,15745,184235,13345,7076,2615,463,62,170,50,1499
267940,Glacier 3: The Meltdown,Team 6 Studios,"KISS ltd, Funbox Media Ltd",1,119,307,36,228714,14868,28810,5278,0,0,57,0,4,0,299
287340,Colin McRae Rally,Codemasters Digital,Codemasters,5,807,1150,46,246152,15424,99320,9799,2306,1842,166,178,76,175,699
370510,Marble Mayhem: Fragile Ball,"Bimboosoft Co.,Ltd.",Epic Quest Games,23,658,328,65,266623,16052,157194,12327,0,0,197,0,189,0,199
295710,Darkwind: War on Wheels,Psychic Software,Psychic Software,5,181,241,42,238065,15169,91233,9391,0,0,23,0,6,0,0
360380,Tiny Bridge: Ratventure,Estelion,EQ Games,23,568,281,66,252723,15629,153403,12177,1921,1682,180,52,170,94,499
12160,Midnight Club 2,Rockstar San Diego,Rockstar Games,51,470,101,84,230736,14934,76828,8618,774,1516,127,12,17,12,0
391420,Gun Rocket,Space Wedgie,Space Wedgie,35,479,167,73,234780,15064,135460,11443,769,1063,336,310,205,310,199
284930,Speed Kills,"Holy Warp, Black Wing Foundation",KISS ltd,10,172,155,53,225176,14753,101847,9923,756,1046,200,76,195,76,999
47920,Shift 2 Unleashed,Slightly Mad Studios,Electronic Arts,18,952,568,61,243120,15329,122318,10874,2527,1563,757,105,233,93,1999
675010,Spintires: MudRunner,Saber Interactive,Focus Home Interactive,43,2784,744,78,214815,14409,143547,11780,27294,5137,831,279,376,45,2999
24870,Need for Speed: Shift,Slightly Mad Studios,Electronic Arts,32,927,346,72,243372,15337,130911,11249,3459,2256,623,51,171,44,1999
533620,STARUSHKO LUB,,,3,112,190,35,219869,14578,150876,12077,0,0,314,0,331,0,99
281920,Splatter - Zombie Apocalypse,Dreamworlds,Dreamworlds,74,1668,177,90,234780,15064,128636,11151,769,1063,265,62,169,62,99
515220,F1 2017,"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)","Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)",51,2509,518,84,208497,14196,143547,11780,59137,7561,2554,411,988,209,5999
4230,RACE - The WTCC Game,SimBin,SimBin,37,113,36,77,234780,15064,95277,9597,763,1494,128,31,37,31,3999
250340,Blockland,"Eric Hartman, Ben Garney, Anthony Rotondo",Blockland LLC,32,3587,1351,68,202937,14005,134449,11400,1516,1210,1304,64,123,48,999
461640,Sins Of The Demon RPG,Chandler Rounsley,Chandler Rounsley,59,582,95,85,223407,14695,99067,9786,2527,1563,213,438,198,457,199
