appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,owners_variance,players_forever,players_forever_variance,players_2weeks,players_2weeks_variance,average_forever,average_2weeks,median_forever,median_2weeks,price
497470,D.N.Age,REMIMORY,REMIMORY,9,21,21,48,2483,1535,2642,1954,0,0,218,0,286,0,499
826040,Sacred Stones,"NoxBiX Co,. Ltd.","NoxBiX Co,. Ltd.",,2,0,0,747,1034,0,0,0,0,0,0,0,0,1019
644370,Howard Phillips Lovecar,The Secret Pie,"The Secret Pie, Kurki.games",71,17,2,88,1099,1241,1099,1241,0,0,19,0,30,0,99
466770,Ghost Croquet,"ampersandbear, YellowAfterlife",ampersandbear,,15,0,0,725,1420,0,0,0,0,0,0,0,0,899
616330, DIG A BOO,bonefrog,bonefrog,62,25,4,81,747,1034,747,1034,0,0,210,0,210,0,999
384431,CF-4-01 Final Mesh - UV Unwrapping,,,,0,0,0,747,1034,747,1034,0,0,2292,0,2292,0,
384447,CF-6-01 Bump Map - Simple Wrinkles,,,,0,0,0,747,1034,725,1420,0,0,1313,0,1313,0,
314350,Abatron,W3 Studios,W3 Studios,,11,0,0,993,971,745,841,0,0,42,0,42,0,1999
384463,CF-8-01 Materials - Body,,,,0,0,0,747,1034,0,0,0,0,0,0,0,0,
657180,The Adliberum Engine (ADLENGINE),Liam Twose,Liam Twose,,3,1,0,2234,1456,740,1449,0,0,104,0,104,0,0
591910,World Basketball Manager 2,Icehole Games,Strategy First,32,16,6,68,1738,1284,1241,1085,0,0,2708,0,3696,0,999
493290,World VR Competition,MT Worlds,MT Worlds,41,14,4,78,1494,1462,2311,2613,0,0,21,0,24,0,1199
652700,Equivoque,Jenny Bee Presents,Jenny Bee Presents,,15,1,0,725,1420,725,1420,0,0,1,0,1,0,199
628020,Romance of the Three KingdomsVI with Power Up Kit / VI with ,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",,2,4,0,1121,1266,1540,2133,0,0,899,0,1113,0,1999
537740,Dino Dini's Kick Off Revival - Steam Edition,Koo Games Ltd,"The Digital Lounge, Plug In Digital",20,23,13,65,993,971,740,1449,0,0,58,0,58,0,999
653770,The First Time I Died,Ryan Stephen,Ryan Stephen,,1,0,0,725,1420,0,0,0,0,0,0,0,0,199
493000,Battle Knights,Mire Studios,Mire Studios,,7,1,0,733,1014,740,1449,0,0,9,0,9,0,299
659180,Medieval Mystery Match,RedZone Studios LLC,RedZone Studios LLC,,3,0,0,733,1014,733,1014,0,0,64,0,64,0,999
586080,Age of Heroes (VR),Omnigames,Omnigames,3,13,22,35,733,1014,733,1014,0,0,190,0,190,0,2999
517170,Tvori,Tvori,Tvori,54,20,4,81,2241,1791,2241,1791,770,1508,124,2,137,2,1999
510110,New Yankee in King Arthur's Court 2,"Rionix, Alawar Entertainment",Buka Entertainment,,0,2,0,1494,1462,725,1420,725,1420,215,215,215,215,399
672670,Hover Bots VR,Khizer Awan,Aplome Labs,,1,1,0,747,1034,747,1034,770,1508,12,6,12,6,499
463400,Spellbound,Wobbly Duck Studios,Wobbly Duck Studios,41,17,5,73,747,1034,747,1034,0,0,17,0,17,0,1999
398750,Ð‘ÐµÐ·ÑƒÐ¼Ð½Ñ‹Ð¹ ÐœÐ°ÐºÑ 2: Ð’Ð¾Ð¸Ð½ Ð´Ð¾Ñ€Ð¾Ð³Ð¸,,,,0,0,0,725,1420,0,0,0,0,0,0,0,0,
512370,Hero Boy,Crowned Daemon Studios,Crowned Daemon Studios,,5,0,0,725,1420,725,1420,0,0,292,0,292,0,499
